time, amplitude, 
14.258,0.12501, 
14.282,0.18384, 
14.307,0.182, 
14.331,0.06802, 
14.355,-0.15626, 
14.38,-0.3015, 
14.404,-0.28495, 
14.429,-0.29047, 
14.453,-0.421, 
14.478,-0.45593, 
14.502,-0.27208, 
14.526,-0.10663, 
14.551,-0.09744, 
14.575,-0.17097, 
14.6,-0.25738, 
14.624,-0.31253, 
14.648,-0.36584, 
14.673,-0.43019, 
14.697,-0.47615, 
14.722,-0.52762, 
14.746,-0.59564, 
14.771,-0.63425, 
14.795,-0.68205, 
14.819,-0.77949, 
14.844,-0.61403, 
14.868,-0.49086, 
14.893,0.19119, 
14.917,0.37136, 
14.941,0.79603, 
14.966,0.86773, 
14.99,1.0332, 
15.015,1.6601, 
15.039,1.8458, 
15.063,1.1141, 
15.088,-0.19671, 
15.112,-0.95413, 
15.137,-1.0461, 
15.161,-1.3898, 
15.186,-0.6416, 
15.21,0.75375, 
15.234,1.6472, 
15.259,1.7336, 
15.283,1.1049, 
15.308,0.1673, 
15.332,-0.93207, 
15.356,-1.4045, 
15.381,-1.1067, 
15.405,0.26105, 
15.43,1.6877, 
15.454,2.3127, 
15.479,2.4138, 
15.503,1.5553, 
15.527,0.15259, 
15.552,-1.4873, 
15.576,-2.2925, 
15.601,-1.9285, 
15.625,-1.0902, 
15.649,0.03861, 
15.674,0.94678, 
15.698,1.1343, 
15.723,0.54233, 
15.747,-0.55888, 
15.771,-1.3604, 
15.796,-1.3237, 
15.82,-0.77581, 
15.845,0.3493, 
15.869,1.4762, 
15.894,1.9303, 
15.918,1.6895, 
15.942,0.82177, 
15.967,-0.32356, 
15.991,-1.1931, 
16.016,-1.1674, 
16.04,-0.4835, 
16.064,0.28128, 
16.089,0.60484, 
16.113,0.56439, 
16.138,0.24819, 
16.162,-0.30518, 
16.187,-0.72249, 
16.211,-1.07, 
16.235,-0.71146, 
16.26,-0.13604, 
16.284,0.3879, 
16.309,0.78132, 
16.333,0.60667, 
16.357,0.17649, 
16.382,-0.32908, 
16.406,-0.77949, 
16.431,-0.84383, 
16.455,-0.68389, 
16.479,-0.3971, 
16.504,-0.2776, 
16.528,-0.18752, 
16.553,-0.44489, 
16.577,-0.70595, 
16.602,-0.59932, 
16.626,-0.38974, 
16.65,-0.06251, 
16.675,0.21142, 
16.699,0.42835, 
16.724,0.49269, 
16.748,0.19855, 
16.772,-0.0717, 
16.797,-0.35114, 
16.821,-0.28863, 
16.846,0.14156, 
16.87,0.49821, 
16.895,0.63977, 
16.919,0.53865, 
16.943,0.42835, 
16.968,0.01838, 
16.992,-0.42283, 
17.017,-0.54785, 
17.041,-0.47431, 
17.065,-0.24083, 
17.09,0.04964, 
17.114,0.28128, 
17.139,0.21693, 
17.163,-0.08824, 
17.188,-0.36768, 
17.212,-0.3971, 
17.236,-0.3732, 
17.261,-0.23899, 
17.285,-0.05331, 
17.31,0.06251, 
17.334,0.09744, 
17.358,-0.06434, 
17.383,-0.28679, 
